Address,Total
0x6a43e60d5520912d20f19eb29a011e82a6ee50ae,35.448945123
0x028b2b9adca1bd1263086b0b221713a684968817,34.646213914
0x8cd9f9c08c6a3f891bc570f1d6a3dc91c1f62bb0,33.415583580
0x43232604615a225aded5713e41161d82f6164672,30.832265371
0xb8ec7c6483444572a486e22dd8f875bb26e14472,29.913933796
0xde464c0307b1e35264b70aac3797ceeff3966cc8,29.676766378
0x64d6539c03352d0faeab9c2a1c3120dba859836c,29.592764476
0x621091d1c013e57a37767521bd87208d497b09b6,27.435591998
0x4e65175f05b4140a0747c29cce997cd4bb7190d4,27.435377848
0x17307be3589a680452543dde06d42a07ee3fa080,25.768925487
0x25a34b7f2533761a0eea417d4613b54861278e79,25.527340104
0x6c26a07ccff2783577ee911d4c6907cf59775554,22.808640468
0x54c375c481f95ba43e2cecd6ef30631f55518f57,21.035722970
0xbf370b6e9d97d928497c2f2d72fd74f4d9ca5825,20.675396694
0x25431341a5800759268a6ac1d3cd91c029d7d9ca,19.900174916
0x91f93bc5053b4e1b1c2f56d6f4442c306ea65a94,19.077288890
0xf2f6225962e7b1098d10f8b421b0c31936c7dcd2,18.339990339
0xc2634b9d0a0cfb756cded34656e09828072a8a9b,17.572678418
0x4f50d47d20380172746527bbeaa274940c38efac,16.242071056
0x0154d25120ed20a516fe43991702e7463c5a6f6e,16.212781376
0xbc784b5c62269a4aa739d801bd06616559c88bd8,15.917603720
0x7bfee91193d9df2ac0bfe90191d40f23c773c060,15.901934912
0x09528b6c6fc792eff0c70563c9b4c4c6e38da61d,14.932862970
0xfa8f11e4ad7bc8c7f210bc646d9a23bad4603f49,14.615626151
0xf7ec5bd922ea65a0f2c9b9c0ee7b683a87d8f30b,14.286479828
0x5d30cadb7610e5ff1446b164423d76af3bb4e5cf,13.817105391
0x17535cc8178936c55b7eba7844dd43e958d45db9,13.443286077
0x39d52da6beec991f075eebe577474fd105c5caec,13.335462796
0x1638e6e26f49c3b9ee48c03daf1097968c837851,12.651289470
0xd0554b8dc33b4be4bee98718a7b5f8009a67a6b7,12.372132142
0x02675dfa4d4d6b3fb7d04e0c8ad000eff752bd89,12.332759349
0xe867cc15f6d6839d1e479041fda51ffc6db764e6,11.880617541
0x7da957bfa534a593618ce9a16216a1ea57b8e941,11.172708850
0x25125e438b7ae0f9ae8511d83abb0f4574217c7a,10.665875129
0xbfa52e0b5d8f22542d579e3a320fd02f184a6bfa,10.348050125
0x7fe02ca835b711928505ea6725ccca6dce6db9e7,10.279639996
0x21c30d17d9e61ce139dfd2a3d167c5752246b938,10.254213306
0xbeb7b18735f9132271be67b9fb6e52e0a332f165,9.859993254
0x4026b3da349c2952255ca9db4f055ea57f4e037c,9.452802327
0xf5ad0a6aa4dceaf08dd41519b245d5b18fdeedad,9.143658603
0x0285590ef8c67938e0c622cbf1d2dccd110f1efe,9.091656170
0x5de4ca716bc806c79286ee0bab92a585da214043,9.065006987
0x8f4d6ce7febfeccea7144769549a698cc8dbabad,7.804194616
0x6eec9242c7e1a678c4575984fb3a87426caa1cf2,7.673385332
0x9ef86a4ebbf2e595228f924782ca6c325b107f18,7.247429767
0x5b78ae09929c53c77ba29a13265e35a2f62dd89f,7.137863261
0x386a586131cd525cd0b42e0d7cc989f99ee951f4,6.203275434
0xe9ca86b78686a5af0ac39cc3be976c95395b5b06,5.810355440
0xc11508077ff0afe0f65e250df0a1f2787eab1ba3,5.623813407
0x52a5711dc4fe437e81205bfad22ffc43f1818df7,5.351658032
0xc3dbd0ea72d088f6db28205a7d89a3f956cd5ccc,5.343142478
0xa6584b95ea4e9018b1f377dad99448ec478a150f,5.084611989
0xe3d69bcab5daaea39787eeaf4c0369de366d71bd,4.933923505
0x362c6e9a48d8ea1a19f280857fbf7f1cab520058,4.908955837
0x40d2ce4c14f04bd91c59c6a1cd6e28f2a0fc81f8,4.675905476
0xa5ac63ffcacd62f44b91ea1607383f92b54f2ee7,4.590922511
0x428da84e14b52e4a1cd0afe7150abe27d1aff8c5,4.554637491
0x63020d3cd6c606ac859a486b8888f63b13bfb413,4.463169071
0xd9a94545515edb558c3d408a3c990cb4ee067d95,3.886071220
0xfd1935fd3c8f49723deb7296c58ba4bb1a0e48e1,3.873603520
0xa16946a605ddb755d3a5774b6124f97fed1bd1e3,3.648308449
0xc4b0259cf0252eb3b3cf61f41e055e6db34f644c,3.621451284
