Address,aave-mint,uni-v2-rai-eth,aave,rai-dai-uni-v3,Total
0x2816affb6b2e646e2d9f2529c5affed6d13e0c0c,0.0,1.7320170234110728,0.0,0.0,1.732017023
0xdf04232a23877e764a7b115a3fd7202379715f29,0.0,0.0,1.6479788587668902,0.0,1.647978859
0xfaed78f3a8bc9532c3f10c8ded0e0f5251c42d39,0.0,1.6412859395286403,0.0,0.0,1.641285940
0x80d4ea495d4a02d84486c50bb197ba3bd3622859,0.0,0.0,1.541731293633212,0.0,1.541731294
0x6fce63859a859a0f30ed09b12f5010d790618ca4,0.0,0.0,1.5046727303052552,0.0,1.504672730
0x689ca2d9beaca70b89afff84bc0c3bae78979b43,0.0,1.5039791106385376,0.0,0.0,1.503979111
0x30043aabbcebbd887437ec4f0cfe6d4c0eb5cc64,0.0,1.5015594313486338,0.0,0.0,1.501559431
0x6630a2af9f49c14c6bedeac703eb56316bd0e950,0.0,1.391629103929522,0.0,0.0,1.391629104
0x5a1cae6f827791bf6108049bb0ce72c5dae856f2,0.0,1.3803967935896857,0.0,0.0,1.380396794
0xd2d749354338c06b1d163f2e4235a9f6160e5aca,0.0,1.3555286158588975,0.0,0.0,1.355528616
0xbddff9b7f0930d648161eacc10645453502f3c70,0.0,1.3135090033420005,0.0,0.0,1.313509003
0x5bb6f3431585aba50ca5cf670d2dfd68f8f932f3,0.0,1.3026671111141197,0.0,0.0,1.302667111
0x28431a1446c86434ded04f7f8ba6808649329f4d,0.0,1.256900019226972,0.0,0.0,1.256900019
0x037ce225946fc6b419e768abc7e5f03356bb887b,0.0,1.243406239250947,0.0,0.0,1.243406239
0xd1c7e186db14da035e1f0e218123579b3535304e,0.0,1.2209722642589302,0.0,0.0,1.220972264
0x51b3a21c89292e3b1e4be7659be7c435035a972f,0.0,1.2192015571912036,0.0,0.0,1.219201557
0x5fbed17c2f17a3cca5b063c233ca7313eca00630,0.0,1.2044312201663214,0.0,0.0,1.204431220
0x98cd6cf577e18ba8a3ab56ccbda552e7796555cd,0.0,0.0,0.0,1.1208176482932195,1.120817648
0x778549eb292ac98a96a05e122967f22efa003707,0.0,1.107497860449655,0.0,0.0,1.107497860
0x43a167c2efdc7b137bea81d5a366d42a5d398b6c,0.0,1.0533608899092233,0.0,0.0,1.053360890
0xb20868131fbdd060f7f237f8f99c24880ed573ef,0.0,0.0,0.9440015912615928,0.0,0.944001591
0x13772ffc3fc23f5845f8863b68f3e3231f48893e,0.0,0.9418698087082944,0.0,0.0,0.941869809
0xf7b18e107eb36797f4ce36de756630b9c30969ad,0.0,0.0,0.9000761608238145,0.0,0.900076161
