Address,Total
0xd0554b8dc33b4be4bee98718a7b5f8009a67a6b7,12.807845160
0xbf370b6e9d97d928497c2f2d72fd74f4d9ca5825,12.175179308
0x7da957bfa534a593618ce9a16216a1ea57b8e941,11.442304960
0xf7ec5bd922ea65a0f2c9b9c0ee7b683a87d8f30b,10.966840145
0x25125e438b7ae0f9ae8511d83abb0f4574217c7a,10.360797555
0xc2634b9d0a0cfb756cded34656e09828072a8a9b,10.348072824
0x30887fc55cbfad3487cb55bfe1779f6d2ba1c118,10.142886891
0x54c375c481f95ba43e2cecd6ef30631f55518f57,9.944133019
0x4f50d47d20380172746527bbeaa274940c38efac,9.564772234
0xa6584b95ea4e9018b1f377dad99448ec478a150f,9.341589459
0xC8Cec86F7c97139C803Fec48B5fd7341d8282B5e,9.130125593
0x5b78ae09929c53c77ba29a13265e35a2f62dd89f,9.098270012
0x6eec9242c7e1a678c4575984fb3a87426caa1cf2,8.996381702
0x9035b69186fca1a9a43d6d5aab62822ed666e6e0,8.782187295
0xd454ed303748bb5a433388f9508433ba5d507030,8.150607687
0x929b7b0ecc74e86d8edd8b7eca953a098671f7ac,8.079920321
0x17535cc8178936c55b7eba7844dd43e958d45db9,7.916385881
0x49bb4b96be42e5c65d5dadd90134a07583fadab1,7.401159085
0xe9ca86b78686a5af0ac39cc3be976c95395b5b06,7.344919095
0x02675dfa4d4d6b3fb7d04e0c8ad000eff752bd89,7.262426867
0xd21b32470e1206e67cb3022e5fe1bbb494dd1aa5,7.236473207
0x39d52da6beec991f075eebe577474fd105c5caec,6.665015224
0x5d30cadb7610e5ff1446b164423d76af3bb4e5cf,6.571631348
0xa5ac63ffcacd62f44b91ea1607383f92b54f2ee7,6.568530530
0xc3dbd0ea72d088f6db28205a7d89a3f956cd5ccc,6.237725120
0xbfa52e0b5d8f22542d579e3a320fd02f184a6bfa,6.093685535
0x1626e7c64be01166b937c4cfaaac2f8279794ca5,6.089792094
0x40d2ce4c14f04bd91c59c6a1cd6e28f2a0fc81f8,6.076745045
0x7fe02ca835b711928505ea6725ccca6dce6db9e7,6.053400668
0xb2a3406c9f34bdc441cf9a1065b8eea89761f3ae,6.006596905
0xe41a2b194f15aaae7500421ecb71e39c5be26bfd,5.937827939
0xbeb7b18735f9132271be67b9fb6e52e0a332f165,5.767018195
0x63020d3cd6c606ac859a486b8888f63b13bfb413,5.485293890
0xf627e5f4bad95a956468d8bb6ee20b119f992e96,5.357938779
0x0285590ef8c67938e0c622cbf1d2dccd110f1efe,5.322156622
0x0e7af95de26bf10e6b9f00d846c22757aa582b9c,5.250087870
0x63bf1d484d7d799722b1ba9c91f5ffa6d416d60a,4.521386543
0x7aa0d7b446aa12feccdd4a33b997c7e45b10441c,4.391528659
0x9ef86a4ebbf2e595228f924782ca6c325b107f18,4.264829367
0xd0e72c1b2eb87e3dc0445b7f689cadcfc872b293,3.931628431
0x82d3e57708d69d5386a7da9cb0616f56475f3c2e,3.825737711
0xa7a23739862e45914e9fea98883b5a85e7d9525f,3.753763435
0x621091d1c013e57a37767521bd87208d497b09b6,3.698283617
0xf7209ca456675d82a372f8edfa1f17e74c237b69,3.657868500
0xa16946a605ddb755d3a5774b6124f97fed1bd1e3,3.547082404
0xd610086899bbe55f08f4590b2197aed9966e8c73,3.435495444
0xc11508077ff0afe0f65e250df0a1f2787eab1ba3,3.311710902
0x52a5711dc4fe437e81205bfad22ffc43f1818df7,3.151445996
0xe3d69bcab5daaea39787eeaf4c0369de366d71bd,2.898574508
0x362c6e9a48d8ea1a19f280857fbf7f1cab520058,2.890750703
0xfca399b892f4e8306fc31b312a3399f422976886,2.881977154
0xced28d6242f2807b3312eaffa50a3e0e04cff725,2.869689594
0x13c9d9b81513fe8ef119408f916b74118478cb03,2.840373824
0x8caa7ebe5c6ae6087fb65315d1b5aa7acd33b854,2.810722343
