Address,uni-v2-rai-eth,curve,rai-dai-uni-v3,Total
0x5bb6f3431585aba50ca5cf670d2dfd68f8f932f3,2.037742457920608,0.0,0.0,2.037742458
0x28431a1446c86434ded04f7f8ba6808649329f4d,1.966149688349392,0.0,0.0,1.966149688
0x037ce225946fc6b419e768abc7e5f03356bb887b,1.9450415724382848,0.0,0.0,1.945041572
0xd1c7e186db14da035e1f0e218123579b3535304e,1.9099484446920367,0.0,0.0,1.909948445
0x5fbed17c2f17a3cca5b063c233ca7313eca00630,1.8840735396159305,0.0,0.0,1.884073540
0x778549eb292ac98a96a05e122967f22efa003707,1.73244215121417,0.0,0.0,1.732442151
0x7a2103b377f02291ac22565ec0b8a85096e1c717,1.396436473832683,0.0,0.0,1.396436474
0x39022d3441af8811efa96b4e02eb8d9e1a16abca,1.3949779669914584,0.0,0.0,1.394977967
0xbb67405f999f31d6ea181d1481859a9f889b4e57,1.392679594131824,0.0,0.0,1.392679594
0x37830843a2eb2e636e2e6ac5503f1dbbcc9e8f51,1.3677029884006398,0.0,0.0,1.367702988
0x3d56de91f46c9a5e33f98a92cddb22118c770720,1.3604815215202362,0.0,0.0,1.360481522
0xa1671a34c5066eef436d0eedfa96f78d6c0d9d4f,1.343470904892705,0.0,0.0,1.343470905
0x662b7c11e20547026f2c10403958b81dd64e9a38,1.3406175623691972,0.0,0.0,1.340617562
0x51b3a21c89292e3b1e4be7659be7c435035a972f,1.232494007202569,0.0,0.0,1.232494007
0x127be2424ecedcb9248c167ccc57c9c09b55fdf0,1.111826589230954,0.0,0.0,1.111826589
0xb3f23740cd908e6d8aab746d7dd41c8765017dc8,1.091210576439603,0.0,0.0,1.091210576
0xff3f8d57c190330338724b3696c3cb5839ce2e9c,1.0881122370361185,0.0,0.0,1.088112237
0x050cea859b5a93ac7bd4db4572fb7d90b7c63cac,0.9930852566041602,0.0,0.0,0.993085257
0x839d195bf635e222893c6516329235e904f8b3cf,0.961947266012354,0.0,0.0,0.961947266
0x1201be09fe51ceedd730285f7c1ca8d4b5f5a519,0.8947645155769907,0.0,0.0,0.894764516
0x9d2dcc1b6a86fad7e73e784e0c50a1f1ee6b0d83,0.8274461543679613,0.0,0.0,0.827446154
0x3409b624bf7af290a9cb795103be5ce02e1cfdf1,0.7989619007705188,0.0,0.0,0.798961901
0xb7794a8a3d4c2945684346f0a3281209478a01e1,0.7778911244466461,0.0,0.0,0.777891124
0x2517761dcce63ba3490f4644f26bc3053e90bd3a,0.709532857679458,0.0,0.0,0.709532858
0x8d3f5041969b323824e144ade6375cbc5fb7bf57,0.6956411439152355,0.0,0.0,0.695641144
0x299c437702b2ee9ad9dc27f95d294b4559462ef4,0.6844536672877858,0.0,0.0,0.684453667
