Address,curve,rai-dai-uni-v3,uni-v2-rai-eth,Total
0x8d3f5041969b323824e144ade6375cbc5fb7bf57,0.0,0.0,0.5492714348320518,0.549271435
0x299c437702b2ee9ad9dc27f95d294b4559462ef4,0.0,0.0,0.5404379128458106,0.540437913
0x1ae3d567efa78eb59a24e05ec3391c701d5a17eb,0.0,0.0,0.5118616402185132,0.511861640
0x92fcd9564f273c5d8fac8870e0ea29e0550265c7,0.0,0.0,0.4890655301606623,0.489065530
0x9e2178376af13dbb3d939fa62a8d33bf74912e3d,0.0,0.0,0.4875811867133592,0.487581187
0x5af0c6ca4564bd94c7a49564f7c2d67d66ca891d,0.0,0.0,0.4750109119288105,0.475010912
0x1a11a225a53f59ccbcc6f88a6b83b06c23c42214,0.0,0.0,0.4680527942011699,0.468052794
0xc6c9f2ee86fb3033c8a366b15253ae447f7a36aa,0.411619074,0.0,0.0,0.411619074
0x48c0e22cade321ee3ba22f9606af3e4ca7090601,0.0,0.0,0.4109983270565813,0.410998327
0x50ef6d20dfe998ee403bf4127ec07d9f832fe10f,0.0,0.0,0.3710906981237143,0.371090698
0xf08b78ba2bdd1d1ee27642f15844139c4bd3b697,0.0,0.0,0.3537187301548937,0.353718730
0xa7f569e019328c4c2774acefcb8b4862146cedca,0.0,0.0,0.3290469331793447,0.329046933
0x78b676664dd3b29f247070f7317321861703d461,0.0,0.0,0.3246887725243825,0.324688773
0xb1c10941bcc0627e9434416304d6da8b3f7255f0,0.0,0.0,0.3066924006498445,0.306692401
0x7b352628fe891148c33dc501010608f43fa259a3,0.0,0.0,0.3018880930486664,0.301888093
0xa9346de97ea8f5b2ce89aba9834424d2f799b493,0.0,0.0,0.3013878930821652,0.301387893
0xdbe17ce4f29598d399f4a0e948861506eee90cd2,0.0,0.0,0.2866259796732833,0.286625980
0x2819c8a2eed2d61499a41ef6f8138e787f3f5500,0.0,0.0,0.2842878546556343,0.284287855
0xcc9250f57ef36a46efa923e1d6f1c3c2d40bc78f,0.0,0.0,0.2815367460816458,0.281536746
0x3b326b5527b705ce9dddb276d6342506d043a607,0.0,0.0,0.2769472625364049,0.276947263
0x10d055564c14350e77dfe6ab5fdc6d9e6362eca4,0.0,0.0,0.274570916676716,0.274570917
0xe311f0bc293683a911f502705281b22a46701872,0.0,0.0,0.2708447230431275,0.270844723
0x5edb3a936ac2560d5cfcdffd162919c6d9bec70a,0.0,0.0,0.2652355443576314,0.265235544
0xbfa17175696d1c9271b05826919691f38607ffd7,0.0,0.0,0.2320564858360363,0.232056486
0x4fedb3ab145b7c6bcc796dfba24d6d665a742fc5,0.22844263,0.0,0.0,0.228442630
0x8cf0f4f9e131c0fd8996c723fd2920da7debf5b2,0.0,0.0,0.2239643258059469,0.223964326
0xcbe19f73fedd492a10339c431db4eda6ec6eea32,0.0,0.0,0.2209473998872677,0.220947400
0x3997b25296c0d3d2706b4e59b298e943a0bb42f1,0.0,0.0,0.2195868731445196,0.219586873
0x57971ad4b95f8a7c6f7e62e56fce0fc2b76460c1,0.0,0.0,0.2193044844683579,0.219304484
0x63980d84831b4dd30d0e3626f38798755e72a5f2,0.0,0.0,0.2192631151180146,0.219263115
0x29dccd941d6ea3c265df67102f0154be02ccab06,0.0,0.0,0.2191876454060791,0.219187645
0xac12b8ed1a3fc4da193fb08f218e6cb95575571a,0.0,0.0,0.2178905540734144,0.217890554
0x0b8cef085e20061b6b2a081b5e1c045e09fafd88,0.0,0.0,0.2169989895052148,0.216998990
0x863355ae0975800d21186a274547c4b48a48cfd1,0.0,0.0,0.2169950236472704,0.216995024
0x40fe08e87de3262f5c30ed87325def5f9ce6f64f,0.0,0.0,0.2156687183191141,0.215668718
0x8e8f651efd439439eba920766e298959de505b2c,0.0,0.0,0.2142434309802445,0.214243431
0x8fcb238c1cffbe85ba4d4d6ca7572f545e1f4032,0.0,0.0,0.2128113675114969,0.212811368
0x2953d4a9c12906e5ab3cad627f8b52e3b7ffc963,0.0,0.0,0.2125760033031812,0.212576003
0x150a3b0f356d856cd1168e311fe3e58213b9d26e,0.0,0.0,0.212359886321878,0.212359886
0x0d87eb3f8c744a1c74c17b54ddfbb4e23407d3da,0.0,0.0,0.2066719026511962,0.206671903
0x1b8d65dcad712e1d0470fa8fd1f00956c2bc43c1,0.0,0.0,0.2065634968260778,0.206563497
0x8c2ff1abb421c61175ad31dd31b43cdaa218a756,0.0,0.0,0.2057419351794756,0.205741935
